relationship,source_entity,target_entity,question_code,description
assessedBy,PainRelieverUseDisorder,DSM5_SUD_Variables,EDUD5PNRUNM,Pain reliever use disorder is assessed by DSM-5 SUD variables.
excludes,PainRelieverUseDisorder,PastYearMisusers,EDUD5PNRUNM,Pain reliever use disorder does not include individuals who misused prescription pain relievers in the past year.
isRelatedTo,PainRelieverUseDisorder,PrescribedPainRelievers,EDUD5PNRUNM,Pain reliever use disorder is related to the use and misuse of prescribed pain relievers.
hasDisorderType,Tranquilizer Use Disorder,Substance Use Disorders (SUD),EDUD5TRQMIS,Tranquilizer use disorder is a type of Substance Use Disorder.
isBasedOn,Tranquilizer Use Disorder,DSM-5 Based SUD Variables,EDUD5TRQMIS,The definition of tranquilizer use disorder is based on DSM-5 Substance Use Disorders variables.
involvesMisuseOf,Tranquilizer Use Disorder,Prescription Tranquilizers,EDUD5TRQMIS,Tranquilizer use disorder involves the misuse of prescription tranquilizers.
pertainsTo,Misusers of Prescription Tranquilizers,Tranquilizer Use Disorder,EDUD5TRQMIS,The tranquilizer use disorder pertains to misusers of prescription tranquilizers.
surveyedPopulation,NSDUH Survey,Respondents,EDUD5TRQMIS,The NSDUH survey collects data from respondents who are 12 years or older in the U.S.
isBasedOn,Disorder,DSM-5,EDUD5TRQUNM,Disorder classification is based on DSM-5 criteria
involvesUseOf,Disorder,Substance,EDUD5TRQUNM,The disorder involves the use of prescription tranquilizers
hasTimePeriod,Disorder,TimePeriod,EDUD5TRQUNM,The disorder is assessed over the past year
involvesUserType,Disorder,UserType,EDUD5TRQUNM,The disorder is found among past year users but not misusers of prescription tranquilizers
relatesTo,Disorder,HealthIssue,EDUD5TRQUNM,The disorder is associated with mental health and substance use issues
categorizedBy,StimulantUseDisorder,DSM5Criteria,EDUD5STMMIS,Stimulant use disorder is categorized by DSM-5 criteria.
involves,StimulantUseDisorder,PrescriptionStimulants,EDUD5STMMIS,Stimulant use disorder involves the misuse of prescription stimulants.
relatedTo,StimulantUseDisorder,Misusers,EDUD5STMMIS,Stimulant use disorder is relevated to individuals who misused prescription stimulants in the past year.
includesCriteria,StimulantUseDisorder,STMANYYR,EDUD5STMUNM,Includes stimulant use in the past year as a criteria for stimulant use disorder.
excludesCriteria,StimulantUseDisorder,STMNMYR,EDUD5STMUNM,Excludes misuse of prescription stimulants in the past year from the criteria for stimulant use disorder.
associatedWith,StimulantUseDisorder,UDSTFMLYCTD,EDUD5STMUNM,Associated with family-related problems due to stimulant use.
associatedWith,StimulantUseDisorder,UDSTFMLYPRB,EDUD5STMUNM,Associated with family problems related to stimulant use.
resultsIn,StimulantUseDisorder,UDSTGETHURT,EDUD5STMUNM,Results in individuals getting hurt due to stimulant use.
resultsIn,StimulantUseDisorder,UDSTHLTHCTD,EDUD5STMUNM,Results in health issues due to stimulant use.
characterizedBy,StimulantUseDisorder,UDSTLRGAMTS,EDUD5STMUNM,Characterized by use of large amounts of stimulants.
associatedWith,StimulantUseDisorder,UDSTMNTLCTD,EDUD5STMUNM,Associated with mental health issues due to stimulant use.
resultsIn,StimulantUseDisorder,UDSTNOTSTOP,EDUD5STMUNM,Results in inability to stop using stimulants.
resultsIn,StimulantUseDisorder,UDSTSTOPACT,EDUD5STMUNM,Results in stopping activities due to stimulant use.
characterizedBy,StimulantUseDisorder,UDSTSTRURGE,EDUD5STMUNM,Characterized by strong urges to use stimulants.
resultsIn,StimulantUseDisorder,UDSTTIMEGET,EDUD5STMUNM,Results in spending time trying to get stimulants.
resultsIn,StimulantUseDisorder,UDSTTIMEUSE,EDUD5STMUNM,Results in spending time using stimulants.
characterizedBy,StimulantUseDisorder,UDSTWANTBAD,EDUD5STMUNM,Characterized by a strong desire to quit using stimulants.
resultsIn,StimulantUseDisorder,UDSTWORKPRB,EDUD5STMUNM,Results in work-related problems due to stimulant use.
characterizedBy,StimulantUseDisorder,UDSTWSHSTOP,EDUD5STMUNM,Characterized by a wish to stop using stimulants.
associatedWith,SedativeUseDisorder,Misuser,EDUD5SEDMIS,The sedative use disorder is associated with past year misusers of prescription sedatives.
definedBy,SedativeUseDisorder,DSM-5SUDVariable,EDUD5SEDMIS,The sedative use disorder is defined by DSM-5 based Substance Use Disorder variables.
includesSymptoms,DSM-5SUDVariable,Symptoms,EDUD5SEDMIS,DSM-5 Substance Use Disorder variables include specific symptoms.
misuses,Misuser,PrescriptionSedatives,EDUD5SEDMIS,Misuser misuses prescription sedatives.
includesCondition,Symptoms,SedativeUseDisorder,EDUD5SEDMIS,Symptoms include conditions indicative of sedative use disorder.
isBasedOn,Sedative Use Disorder,DSM-5 SUD Variables,EDUD5SEDUNM,Sedative use disorder assessment is based on DSM-5 SUD variables.
excludes,Sedative Use Disorder,Prescription Sedatives,EDUD5SEDUNM,The sedative use disorder data excludes past year misusers of prescription sedatives.
relatedTo,Sedative Use Disorder,Mental Health Issue,EDUD5SEDUNM,Sedative use disorder is related to potential mental health issues as defined by the DSM-5.
isBasedOnCriteria,SubstanceUseDisorder,DSM-5,IIPYUD5ALC,Substance use disorder measures for alcohol and drugs are based on DSM-5 criteria.
reports,Respondent,AlcoholUse,IIPYUD5ALC,Respondents reported past year alcohol use.
hasIndicator,Respondent,IRALCFY,IIPYUD5ALC,Respondents have an indicator for past year alcohol use.
hasMissingValue,Respondent,MissingValue,IIPYUD5ALC,Respondents had a missing value for the number of days they used alcohol in the past year.
isClassified,Respondent,AlcoholUseDisorder,IIPYUD5ALC,Respondents can be classified as having a past year alcohol use disorder.
hasSubstanceUseDisorder,SurveyRespondent,SubstanceUseDisorder,IRPYUD5MRJ,Indicates that a survey respondent has a substance use disorder related to marijuana.
refersTo,SubstanceUseDisorder,Substance,IRPYUD5MRJ,The disorder is specifically related to the use of marijuana.
occurredIn,SubstanceUseDisorder,TimePeriod,IRPYUD5MRJ,The substance use disorder occurred within the past year.
queryFor,SurveyQuestion,SubstanceUseDisorder,IRPYUD5MRJ,The question asks about the respondent's marijuana use disorder in the past year.
answeredBy,SurveyQuestion,SurveyRespondent,IRPYUD5MRJ,The survey question was answered by respondents who reported marijuana use in the past year.
hasUseFrequency,Marijuana Use,Day Count,IIPYUD5MRJ,Indicates the frequency of marijuana use over the past year.
hasUseDisorder,Marijuana Use,Substance Use Disorder,IIPYUD5MRJ,Indicates whether the marijuana use resulted in a use disorder.
reportedBy,Marijuana Use,Respondent,IIPYUD5MRJ,Identifies the respondent who reported marijuana use.
hasMissingValue,Day Count,Missing Value,IIPYUD5MRJ,Indicates if the number of days used is missing.
representedBy,Day Count,IRMJFY,IIPYUD5MRJ,Represents the variable IRMJFY for the number of days of marijuana use in the past year.
relatedTo,CocaineUseDisorder,LifetimeCocaineUser,IRPYUD5COC,Cocaine use disorder question is related to individuals with lifetime use of cocaine.
hasPastYearUsageStatus,Respondent,PastYearCocaineUser,IRPYUD5COC,Respondent has past year cocaine usage status according to CONDLREC.
hasLifetimeUsageStatus,Respondent,LifetimeCocaineUser,IRPYUD5COC,Respondent has lifetime cocaine usage status according to IRCOCRC.
classifiedAs,Respondent,CocaineUseDisorder,IRPYUD5COC,Respondent is classified as having cocaine use disorder.
determinedBy,LifetimeCocaineUser,IRCOCRC,IRPYUD5COC,Lifetime cocaine use status is determined by IRCOCRC variable.
determinedBy,PastYearCocaineUser,CONDLREC,IRPYUD5COC,Past year cocaine use status is determined by CONDLREC variable.
classifiedAs,PastYearCocaineNonuser,Respondent,IRPYUD5COC,Respondent is classified as a past year cocaine non-user if lifetime but not past year user according to IRCOCRC and missing for CONDLREC.
assessedBy,Respondent,Cocaine Use Disorder,IIPYUD5COC,Determines if the respondent has a cocaine use disorder based on lifetime and past year cocaine use.
determinedBy,Cocaine Use Disorder,Lifetime Cocaine Use,IIPYUD5COC,Cocaine use disorder can be determined by lifetime use of cocaine.
determinedBy,Cocaine Use Disorder,Past Year Cocaine Use,IIPYUD5COC,Cocaine use disorder can be determined by past year use of cocaine.
utilizes,Editing Procedures,CONDLREC,IIPYUD5COC,Editing procedures utilize the variable CONDLREC to determine past year use of cocaine.
utilizes,Imputation Procedures,CONDLREC,IIPYUD5COC,Imputation procedures utilize the variable CONDLREC to estimate missing data on past year use of cocaine.
classifies,IRCOCRC,Past Year Cocaine Use,IIPYUD5COC,IRCOCRC classifies whether the respondent is a past year user of cocaine.
hasSubstanceUseDisorder,SurveyRespondent,SubstanceUseDisorder,IRPYUD5HER,Relates the respondent to the heroin use disorder in the past year.
usesSubstance,SurveyRespondent,Substance,IRPYUD5HER,Relates the respondent to heroin usage.
classifiedAs,SurveyRespondent,LifetimeUse,IRPYUD5HER,Classifies the respondent based on lifetime use of heroin.
classifiedAs,SurveyRespondent,PastYearUse,IRPYUD5HER,Classifies the respondent based on past year use of heroin.
consideredAs,SurveyRespondent,PastYearNonUser,IRPYUD5HER,Considers the respondent as a past year non-user of heroin based on specific conditions.
hasUseDisorderStatus,Respondent,HEROIN_use_disorder_status,IIPYUD5HER,Indicates the heroin use disorder status of the respondent in the past year.
hasLifetimeUse,Respondent,HEROIN_use_lifetime,IIPYUD5HER,Indicates if the respondent has ever used heroin in their lifetime.
hasPastYearUse,Respondent,HEROIN_use_past_year,IIPYUD5HER,Indicates if the respondent has used heroin in the past year.
assessedForUseDisorder,HEROIN_use_past_year,HEROIN_use_disorder_status,IIPYUD5HER,Links past year heroin use with the assessment of heroin use disorder.
hasUseDisorder,HeroinUse,HeroinUseDisorder,IRPYUD5HAL,Relates heroin use to having a substance use disorder
measuredBy,HeroinUse,Variable_HRNDLREC,IRPYUD5HAL,Heroin use as measured by the variable HRNDLREC
measuredBy,HeroinUse,Variable_HRSMKREC,IRPYUD5HAL,Heroin use as measured by the variable HRSMKREC
measuredBy,HeroinUse,Variable_HRSNFREC,IRPYUD5HAL,Heroin use as measured by the variable HRSNFREC
measuredBy,LifetimeButNotPastYearUser,Variable_IRHERRC,IRPYUD5HAL,Lifetime but not past year heroin use as measured by the variable IRHERRC
consideredAs,LifetimeButNotPastYearUser,PastYearUser,IRPYUD5HAL,Respondents who were lifetime but not past year users of heroin treated as past year users due to missing data in certain variables
assesses,Question,SubstanceUseDisorder,IIPYUD5HAL,Question assesses past-year hallucinogen use disorder
pertainsTo,SubstanceUseDisorder,TimePeriod,IIPYUD5HAL,Substance use disorder pertains to the past year
involves,SubstanceUseDisorder,Substance,IIPYUD5HAL,Substance use disorder involves hallucinogens
completedBy,Question,Respondent,IIPYUD5HAL,Question is completed by the survey participant
mentions,Question,SubstanceUse,IIPYUD5HAL,Question mentions lifetime use of heroin
mentions,SubstanceUse,Heroin,IIPYUD5HAL,Lifetime use of heroin involves the substance heroin
classifiedBasedOn,Respondent,PastYearUsage,IIPYUD5HAL,"Respondents classified based on past year use of heroin according to variables HRNDLREC, HRSMKREC, or HRSNFREC"
assesses,Survey,InhalantUseDisorder,IRPYUD5INH,The survey assesses inhalant use disorder in the past year.
reportsLifetimeUse,Respondent,HeroinUse,IRPYUD5INH,Respondents who reported lifetime but not past year use of heroin.
assessesRecencyUsing,Survey,HeroinUseRecency,IRPYUD5INH,"The survey assesses recency of heroin use using variables HRNDLREC, HRSMKREC, or HRSNFREC."
classifies,Survey,HeroinUseDisorder,IRPYUD5INH,The survey classifies past year heroin use disorder.
includes,Survey,SubstanceUseDisorder,IRPYUD5INH,The survey includes questions on substance use disorder in the past year.
classifiesAsNonUser,Survey,PastYearNonUser,IRPYUD5INH,The survey classifies respondents as past year non-users of heroin based on criteria.
hasInhalantUseDisorder,Respondent,Inhalant Use Disorder,IIPYUD5INH,Indicates whether the respondent has a disorder related to inhalant use in the past year.
relatedToHeroinUse,Respondent,Heroin Use,IIPYUD5INH,Indicates the respondent reported lifetime but not past year use of heroin.
involvesRecencyVariable,Heroin Use,HRNDLREC,IIPYUD5INH,Indicates recency of heroin needle use contributes to assessment of heroin use disorder.
involvesRecencyVariable,Heroin Use,HRSMKREC,IIPYUD5INH,Indicates recency of heroin smoking contributes to assessment of heroin use disorder.
involvesRecencyVariable,Heroin Use,HRSNFREC,IIPYUD5INH,Indicates recency of heroin snuff use contributes to assessment of heroin use disorder.
reliesOn,Assessment,IRHERRC,IIPYUD5INH,Heroin use disorder assessment relies on the recency indicator IRHERRC.
hasMethUseDisorder,Respondent,MethamphetamineUseDisorder,IRPYUD5MTH,Indicates the respondent has methamphetamine use disorder in the past year.
hasLifetimeUse,Respondent,LifetimeUse,IRPYUD5MTH,Indicates the respondent's lifetime use of methamphetamine.
hasPastYearUse,Respondent,PastYearUse,IRPYUD5MTH,Indicates the respondent's past year use of methamphetamine.
isAssociatedWith,PastYearUse,METHNDLRC,IRPYUD5MTH,Association between past year methamphetamine use and variable METHNDLRC.
isClassifiedBy,PastYearUse,IRMETHAMREC,IRPYUD5MTH,Past year use classified by methamphetamine recency variable IRMETHAMREC.
hasUseDisorder,Methamphetamine,Use_Disorder,IIPYUD5MTH,The disorder related to methamphetamine use.
reportedBy,Use_Disorder,Respondent,IIPYUD5MTH,The methamphetamine use disorder is reported by the respondent.
hasLifetimeUse,Respondent,Lifetime_User,IIPYUD5MTH,The respondent has used methamphetamine at least once in their lifetime.
hasPastYearUse,Respondent,Past_Year_User,IIPYUD5MTH,The respondent has used methamphetamine within the past year.
indicatedBy,Past_Year_User,IRMETHAMREC,IIPYUD5MTH,Past year methamphetamine use indicated by the variable IRMETHAMREC.
