entity,question_code,description
TimePeriod,UDINFMLYPRB,Past 12 months.
SubstanceUse,UDINFMLYCTD,Continued use of inhalants despite causing arguments or problems with family or friends.
Inhalants,UDINFMLYCTD,Type of substance used despite causing issues.
Family,UDINFMLYCTD,Immediate social group affected by substance use.
Friends,UDINFMLYCTD,Peer group affected by substance use.
InhalantUse,UDINGETHURT,Use of inhalants.
PhysicalHarmRisk,UDINGETHURT,Increased chances of getting physically hurt.
TimePeriod,UDINGETHURT,Past 12 months.
SubstanceUse,,Use of methamphetamine in the past 12 months
TimeSpent,,"Time spent using methamphetamine, feeling its effects, or recovering from its effects in the past 12 months"
Methamphetamine,,Methamphetamine as a substance of use
SurveyPeriod,,Time period of the past 12 months
Effect,,Effects of methamphetamine use
MethamphetamineUse,UDMETIMEGET,The respondent's use of methamphetamine over the past 12 months.
TimeSpent,UDMETIMEGET,The amount of time spent getting or trying to get methamphetamine in the past 12 months.
Respondent,UDMETIMEGET,The individual answering the survey who is aged 12 or older in the United States.
SurveyPeriod,UDMETIMEGET,"The time frame over which the survey question applies, in this case, the past 12 months."
SubstanceUse,UDMELRGAMTS,Use of methamphetamine in larger amounts or for a longer time than intended
Substance,UDMELRGAMTS,Methamphetamine
TimePeriod,UDMELRGAMTS,Past 12 months
Methamphetamine,UDMEWANTBAD,A central nervous system stimulant commonly referred to as meth.
Substance Use Desire,UDMEWANTBAD,The intense want or craving to use methamphetamine.
SurveyRespondent,UDMEWANTBAD,An individual participating in the survey.
TimePeriod,UDMEWANTBAD,The last 12 months or past year as a reference period.
StrongUrgeToUseMeth,UDMESTRURGE,Presence of a strong urge to use methamphetamine in the past 12 months.
Methamphetamine,UDMESTRURGE,Type of substance related to the urge.
TimePeriod,UDMESTRURGE,The past 12 months.
MethamphetamineUsage,UDMENEEDMOR,The need to use significantly more methamphetamine to achieve the desired effect.
DesiredFeeling,UDMENEEDMOR,The feeling a respondent aims to achieve through methamphetamine use.
Methamphetamine,,A stimulant drug used in the context of this question.
Tolerance,,A decrease in the effect of the drug when used as previously dosed.
Respondent,,The individual taking the survey and responding to the question.
Substance,UDMETRYSTOP,Methamphetamine
Action,UDMETRYSTOP,Try to cut down or stop
TimePeriod,UDMETRYSTOP,Past 12 months
Respondent,UDMETRYSTOP,Individual aged 12 or older
Methamphetamine,UDMENOTSTOP,Substance being referred to in the question related to substance use.
SubstanceUseAttempt,UDMENOTSTOP,An attempt to cut down or stop the use of methamphetamine.
TimePeriod,UDMENOTSTOP,The past 12 months as the period in which the events are being referenced.
Frequency,UDMENOTSTOP,"The number of times an event occurred, specified as more than one time."
MethamphetamineUse,UDMEWSHSTOP,Use of methamphetamine in the past 12 months.
WishToCutDownOrStop,UDMEWSHSTOP,Wishing to cut down or stop using methamphetamine.
TimePeriod,UDMEWSHSTOP,Time frame of the past 12 months.
Long-Lasting Physical Health Problems,UDMEHLTHPRB,Long-lasting or repeated physical health problems.
Methamphetamine,UDMEHLTHPRB,Methamphetamine usage.
Past 12 Months,UDMEHLTHPRB,Past 12 months time period.
Respondent,UDMEHLTHPRB,Individual participating in the survey.
Methamphetamine,UDMEHLTHCTD,The substance in question regarding continued use despite health problems.
PhysicalHealthProblems,UDMEHLTHCTD,Long-lasting or repeated physical health problems caused or worsened by methamphetamine use.
Respondent,UDMEHLTHCTD,The individual being surveyed.
SubstanceUse,UDMEMNTLPRB,Use of methamphetamine in the past 12 months.
MentalHealthProblems,UDMEMNTLPRB,Long-lasting or repeated mental health problems experienced.
EmotionalProblems,UDMEMNTLPRB,Long-lasting or repeated emotional problems experienced.
Methamphetamine,UDMEMNTLPRB,Methamphetamine as the substance causing or worsening mental/emotional problems.
TimePeriod,UDMEMNTLPRB,Past 12 months as the reference period.
Methamphetamine,UDMEMNTLCTD,"The substance in question, specifically methamphetamine."
Emotion or Mental Health Problems,UDMEMNTLCTD,Long-lasting or repeated problems with emotions or mental health.
Respondent,UDMEMNTLCTD,The person being surveyed.
Methamphetamine Use,UDMEMNTLCTD,Continued usage of methamphetamine.
Activity,UDMESTOPACT,"Important activities such as spending time with friends and family, attending special events at work or school, participating in hobbies and sports, and attending religious services and events."
MethamphetamineUse,UDMESTOPACT,Use of methamphetamine in the past 12 months.
TimeSpent,UDMESTOPACT,Time spent on important activities.
Methamphetamine,UDMEWORKPRB,A stimulant drug that can cause serious problems in various aspects of life.
SeriousProblems,UDMEWORKPRB,"Negative outcomes due to methamphetamine use at work, school, or home over the past 12 months."
Work,UDMEWORKPRB,Occupation or employment where serious problems due to methamphetamine use may occur.
School,UDMEWORKPRB,Educational institution where serious problems due to methamphetamine use may occur.
Home,UDMEWORKPRB,Domestic environment where serious problems due to methamphetamine use may occur.
SurveyPeriod,UDMEWORKPRB,The time frame during the past 12 months.
MethamphetamineUse,UDMEFMLYPRB,Use of methamphetamine by the respondent.
ArgumentsOrProblems,UDMEFMLYPRB,Arguments or problems with family or friends.
SurveyPeriod,UDMEFMLYPRB,The past 12 months.
Family,UDMEFMLYPRB,Family members of the respondent.
Friends,UDMEFMLYPRB,Friends of the respondent.
MethamphetamineUse,UDMEFMLYCTD,Continued use of methamphetamine
FamilyOrFriendsProblems,UDMEFMLYCTD,Arguments or problems with family or friends caused by methamphetamine use
MethamphetamineUse,UDMEGETHURT,Usage of methamphetamine increasing chances of getting physically hurt in the past 12 months.
PhysicalHarm,UDMEGETHURT,Physical harm or injury related to methamphetamine use.
TimePeriod,UDMEGETHURT,Past 12 months.
Methamphetamine Withdrawal Effect,UDMEWDFLBLU,Feeling blue or down after using less or stopping methamphetamine.
Withdrawal Symptom,UDMEWDFLBLU,Symptoms experienced when reducing or stopping methamphetamine use.
Time Period,UDMEWDFLBLU,The past 12 months.
Symptom,UDMEWDTIRED,Feeling tired or exhausted as a withdrawal symptom of methamphetamine use.
MethamphetamineUse,UDMEWDTIRED,Use of methamphetamine by the respondent in the past 12 months.
Withdrawal,UDMEWDTIRED,Withdrawal symptoms experienced by the respondent in the past 12 months.
TimePeriod,UDMEWDTIRED,The past 12 months.
Withdrawal Symptom,UDMEWDDREAM,"Symptom experienced during methamphetamine withdrawal, specifically having bad dreams."
Substance,UDMEWDDREAM,Methamphetamine
Time Period,UDMEWDDREAM,Past 12 months
Mental Health,UDMEWDDREAM,Having bad dreams related to mental and emotional state.
Symptom,UDMEWDSLEEP,Having trouble sleeping or sleeping more than you normally do
MethWithdrawal,UDMEWDSLEEP,Withdrawal symptoms experienced due to cessation or reduction in methamphetamine use
TimePeriod,UDMEWDSLEEP,Past 12 months
SurveyItem,UDMEWDHNGRY,Question about feeling hungry as a symptom of meth withdrawal in the past 12 months.
Symptom,UDMEWDHNGRY,Feeling hungry more often.
Substance,UDMEWDHNGRY,Methamphetamine
TimePeriod,UDMEWDHNGRY,Past 12 months
Respondent,UDMEWDHNGRY,Individual taking the survey.
MethWithdrawalSymptom,UDMEWDHNGRY,Withdrawal symptom from methamphetamine.
WithdrawalSymptom,UDMEWDSITST,Feeling either very slowed down or like you couldn’t sit still in the past 12 months.
MentalHealth,UDMEWDSITST,Mental state characterized by feeling very slowed down or restless as part of withdrawal symptoms.
TimePeriod,UDMEWDSITST,Past 12 months.
Methamphetamine,UDMEAVOIDWD,A synthetic stimulant drug used in the question.
Respondent,UDMEAVOIDWD,Individual answering the survey.
Withdrawal Symptoms,UDMEAVOIDWD,Physical or mental symptoms experienced when stopping or reducing intake of methamphetamine.
Drug Use,UDMEAVOIDWD,The act of using methamphetamine or another drug.
Time Period,UDMEAVOIDWD,Past 12 months period being referenced in the question.
MethamphetamineUse,UDMEAVWMETH,Usage of Methamphetamine to avoid withdrawal symptoms in the past 12 months.
WithdrawalSymptomAvoidance,UDMEAVWMETH,Action taken to get over or avoid having methamphetamine withdrawal symptoms.
TimePeriod,UDMEAVWMETH,Past 12 months.
SubstanceUse,UDMEAVWCOCN,Use of cocaine or crack to get over or avoid methamphetamine withdrawal in the past 12 months.
TimePeriod,UDMEAVWCOCN,Past 12 months.
Substance,UDMEAVWCOCN,Cocaine or crack.
SubstanceType,UDMEAVWCOCN,Methamphetamine.
Stimulants,,Prescription stimulants or uppers used to get over/avoid meth withdrawal in the past 12 months.
MethWithdrawal,,Methamphetamine withdrawal symptoms.
Past12Months,,Time period of the past 12 months.
SurveyRespondent,,Individual responding to the survey question.
SubstanceUse,UDMEAVWOTHR,Use of non-specified substances to get over or avoid meth withdrawal in the past 12 months.
Withdrawal,UDMEAVWOTHR,Withdrawal from methamphetamine.
TimePeriod,UDMEAVWOTHR,Past 12 months.
PrescriptionPainRelievers,UDPRTIMEUSE,Prescription pain relievers used by the respondent.
TimeSpentUsing,UDPRTIMEUSE,Amount of time spent using prescription pain relievers.
TimeSpentFeelingEffects,UDPRTIMEUSE,Amount of time spent feeling the effects of prescription pain relievers.
TimeSpentRecovering,UDPRTIMEUSE,Amount of time spent recovering from the effects of prescription pain relievers.
12MonthsPeriod,UDPRTIMEUSE,The period of the past 12 months.
TimePeriod,UDPRTIMEGET,Past 12 months
Action,UDPRTIMEGET,Getting or trying to get prescription pain relievers
PrescriptionPainRelievers,UDPRTIMEGET,Prescription pain relievers
Respondent,UDPRTIMEGET,Individual responding to the survey
PrescriptionPainRelieversUse,UDPRLRGAMTS,Use of prescription pain relievers in larger amounts or for a longer time than intended in the past 12 months.
TimePeriod,UDPRLRGAMTS,The past 12 months.
SubstanceUse,UDPRLRGAMTS,The act of using substances such as prescription pain relievers.
Intent,UDPRLRGAMTS,The original intention or plan regarding the amount or duration of substance use.
PrescriptionPainRelieverUseDesire,UDPRWANTBAD,Desire to use prescription pain relievers so badly that it was overwhelming in the past 12 months
Past12Months,UDPRWANTBAD,The time frame of the past 12 months
Strong Urge to Use Prescription Pain Reliever,,A condition where the respondent had a strong urge to use any prescription pain relievers during the past 12 months.
Prescription Pain Relievers,,Types of medication typically prescribed to relieve pain.
Past 12 Months,,A time period covering the last 12 months from the current date.
PrescriptionPainReliever,UDPRNEEDMOR,A class of drugs used to treat pain.
Feeling,UDPRNEEDMOR,The desired emotional or physical state sought by using a prescription pain reliever.
NeedForIncreasedDosage,UDPRNEEDMOR,The requirement to use a higher amount of prescription pain relievers to achieve the same effect as before.
PrescriptionPainRelievers,UDPRLESSEFF,Any prescription pain relievers.
Effect,UDPRLESSEFF,The impact or result of using prescription pain relievers.
Respondent,UDPRLESSEFF,An individual participating in the survey.
Tolerance,UDPRLESSEFF,A condition in which the same amount of prescription pain relievers have much less effect than it used to on the respondent.
PrescriptionPainRelieverUse,UDPRNOTSTOP,Use of prescription pain relievers in the past 12 months.
AttemptToCutDownOrStop,UDPRNOTSTOP,Attempt to cut down or stop using prescription pain relievers.
FailureToCutDownOrStop,UDPRNOTSTOP,Inability to cut down or stop using prescription pain relievers despite attempts.
TimePeriod,UDPRNOTSTOP,Past 12 months.
WishToCutDownOrStopPainRelieverUse,UDPRWSHSTOP,Whether the respondent often wished to cut down or stop using prescription pain relievers in the past 12 months.
PrescriptionPainRelievers,UDPRWSHSTOP,Medicinal drugs prescribed to relieve pain.
SurveyPeriod,UDPRWSHSTOP,"The time frame considered for the questions asked in the survey, in this case, the past 12 months."
PrescriptionPainReliever,UDPRHLTHPRB,A type of medication used to relieve pain.
PhysicalHealthProblems,UDPRHLTHPRB,Long-lasting or repeated physical health issues.
Respondent,UDPRHLTHPRB,The person answering the survey.
TimePeriod,UDPRHLTHPRB,The past 12 months.
PrescriptionPainRelievers,UDPRHLTHCTD,Prescription pain relievers used by the respondent.
PhysicalHealthProblems,UDPRHLTHCTD,"Physical health problems, either caused or worsened by the use of prescription pain relievers."
ContinuedUse,UDPRHLTHCTD,Continued use of prescription pain relievers despite physical health problems.
Respondent,UDPRHLTHCTD,The individual responding to the survey.
HealthProblems,UDPRHLTHCTD,Health problems experienced by the respondent.
EmotionalProblems,UDPRMNTLPRB,Long-lasting or repeated emotional problems.
MentalHealthProblems,UDPRMNTLPRB,Long-lasting or repeated mental health problems.
PrescriptionPainReliever,UDPRMNTLPRB,Use of prescription pain reliever.
TimePeriod,UDPRMNTLPRB,Past 12 months.
PrescriptionPainRelievers,UDPRMNTLCTD,Medications prescribed for pain relief.
EmotionalProblems,UDPRMNTLCTD,"Issues related to emotions such as depression, anxiety, etc."
MentalHealthProblems,UDPRMNTLCTD,"Issues affecting mental health, such as cognitive disorders, depression, etc."
ContinuedUse,UDPRMNTLCTD,Ongoing or repeated use of substances.
Respondent,UDPRMNTLCTD,The individual who is answering the survey.
Activity,UDPRSTOPACT,"Important activities such as spending time with friends and family, attending special events at work or school, participating in hobbies and sports, attending religious services and events."
PrescriptionPainRelieverUse,UDPRSTOPACT,Use of any prescription pain relievers.
TimePeriod,UDPRSTOPACT,Past 12 months.
PrescriptionPainRelievers,UDPRWORKPRB,Substances referred to as prescription pain relievers causing issues.
SeriousProblems,UDPRWORKPRB,"Serious problems occurring at work, school, or home due to prescription pain reliever use."
Home,UDPRWORKPRB,Home environment where serious problems may occur.
Work,UDPRWORKPRB,Work environment where serious problems may occur.
School,UDPRWORKPRB,School environment where serious problems may occur.
Event,UDPRWORKPRB,"Occurrences such as missing work or school, getting demoted, job loss, or suspension."
TimePeriod,UDPRWORKPRB,The reference period of the past 12 months.
Respondent,UDPRWORKPRB,Individual answering the survey questions.
SurveyQuestion,UDPRFMLYPRB,"During the past 12 months, did you often have arguments or other problems with family or friends that were caused or made worse by your use of a prescription pain reliever?"
SurveyRespondent,,Individual responding to the survey.
TimePeriod,UDPRFMLYPRB,The past 12 months.
PrescriptionPainRelieverUse,UDPRFMLYPRB,Use of a prescription pain reliever by the respondent.
SocialRelations,,The relationships between the respondent and their family or friends.
